,0,1,2,3,4,5,6
0,0,0,0,1,0,0,1
1,1,0,0,1,0,1,0
2,0,0,1,0,0,0,0
3,1,0,0,0,1,1,0
4,0,1,1,0,1,1,1
5,0,1,0,0,0,1,0
6,0,1,0,0,0,0,1
7,0,1,1,1,0,0,0
8,1,0,0,1,1,1,0
9,1,0,0,1,0,0,0
10,1,0,1,0,0,1,1
11,0,1,0,1,0,0,1
12,0,0,1,0,1,0,1
13,0,0,0,0,1,1,0
14,0,0,0,0,0,0,1
15,1,0,0,1,0,1,1
16,0,1,1,1,0,1,0
17,0,1,1,1,0,1,1
18,0,1,1,0,1,0,0
19,0,1,0,1,0,1,0
20,0,1,0,0,0,1,1
21,1,1,1,1,1,0,1
22,0,0,0,1,0,0,0
23,1,0,0,0,0,0,0
24,0,1,1,0,1,0,1
25,0,1,1,1,0,1,1
26,1,1,1,1,1,1,0
27,0,0,0,0,0,1,1
28,1,0,1,1,1,1,0
29,1,1,1,0,1,1,1
30,0,1,0,1,0,1,0
31,1,0,1,0,1,0,0
32,0,1,1,1,0,1,0
33,0,1,1,0,1,1,0
34,1,1,1,1,1,0,0
35,0,0,1,1,1,1,1
36,0,0,1,0,0,0,1
37,1,0,1,0,1,1,1
38,0,1,1,0,0,1,0
39,1,0,1,1,1,0,0
40,0,1,0,0,0,0,1
41,1,0,1,1,1,1,1
42,1,0,1,0,1,1,1
43,1,1,0,1,1,0,0
44,1,1,0,0,0,0,0
45,1,0,1,1,1,1,1
46,0,0,0,0,0,1,1
47,1,0,1,0,0,1,1
48,1,1,1,0,1,1,1
49,0,1,0,0,0,1,1
50,0,0,1,0,0,0,0
51,0,0,1,0,1,1,0
52,0,1,1,0,0,0,0
53,1,0,0,1,0,1,1
54,1,1,0,1,0,1,1
55,1,0,1,1,0,1,1
56,1,1,0,1,0,1,0
57,1,1,0,1,0,0,0
58,1,0,1,0,0,0,0
59,1,1,1,1,0,0,1
60,0,0,0,1,1,0,0
61,1,0,0,1,0,0,1
62,0,1,0,1,1,1,1
63,1,0,1,1,1,1,0
64,1,0,0,0,0,0,0
65,1,1,0,0,0,1,0
66,0,1,1,0,0,0,0
67,1,1,1,1,1,1,1
68,0,0,1,1,0,0,0
69,0,1,1,1,0,1,0
