,0,1,2,3,4,5,6,7
0,0,1,0,1,0,0,1,1
1,0,1,0,1,1,0,1,1
2,1,1,0,1,1,0,1,0
3,1,0,1,0,1,0,0,1
4,1,1,1,0,1,1,0,0
5,0,0,0,1,1,1,0,0
6,0,1,0,1,1,1,0,1
7,0,0,0,1,0,1,0,1
8,1,1,0,0,0,1,0,0
9,0,1,1,0,0,0,1,0
10,1,1,1,0,0,0,0,1
11,1,1,0,1,1,0,1,1
12,1,0,1,1,0,0,1,0
13,1,1,0,1,0,0,0,1
14,1,0,1,0,1,0,1,0
15,0,0,0,1,0,1,0,1
16,1,0,1,1,1,0,1,0
17,0,0,1,0,1,1,1,1
18,1,0,1,1,0,1,0,0
19,0,0,1,1,0,1,1,1
20,1,0,1,0,1,1,0,1
21,1,0,0,1,1,0,1,1
22,0,0,0,0,1,0,1,0
23,0,1,0,1,0,0,1,1
24,1,0,0,0,1,1,0,1
25,0,1,0,0,1,0,1,1
26,0,0,0,1,0,0,0,1
27,1,0,1,0,0,1,1,0
28,0,0,1,0,0,0,0,0
29,1,0,0,1,0,0,0,1
30,0,0,1,0,0,0,0,0
31,0,1,0,0,1,0,1,1
32,1,1,0,1,0,0,0,0
33,1,0,1,1,1,0,1,1
34,1,1,1,0,0,1,0,0
35,1,0,1,0,1,0,0,0
36,0,0,1,1,0,1,0,0
37,0,1,1,0,1,0,1,0
38,1,0,1,0,1,1,1,1
39,1,1,0,1,1,1,1,0
40,0,1,0,0,1,1,0,1
41,0,0,0,0,0,1,0,1
42,1,0,0,1,1,1,0,1
43,0,1,1,0,1,1,0,1
44,1,0,0,1,0,1,1,0
45,1,0,0,0,1,0,0,1
46,1,1,1,0,0,0,0,1
47,1,1,0,1,0,1,1,1
48,0,0,1,1,0,1,0,1
49,1,1,1,1,1,1,0,0
50,0,0,0,0,0,0,1,0
51,0,1,1,1,0,0,0,0
52,1,1,1,1,1,1,0,1
53,1,1,0,0,1,1,1,0
54,0,1,1,0,1,0,1,1
55,0,1,1,1,1,1,1,1
56,0,1,0,1,0,0,0,1
57,1,0,0,1,1,1,1,1
58,0,1,0,0,0,0,0,0
59,1,0,1,1,0,1,0,0
60,1,1,0,1,0,1,0,0
61,1,1,0,1,1,1,1,1
62,1,0,1,1,0,0,0,1
63,0,1,0,0,1,1,1,0
64,1,1,0,1,1,0,0,1
65,1,0,1,0,1,1,1,1
66,0,0,1,0,1,1,0,0
67,0,1,0,1,1,1,1,0
68,1,0,1,1,1,1,0,1
69,0,1,0,0,1,0,1,0
70,0,0,0,0,0,0,0,1
71,1,0,1,1,0,0,0,1
