,0,1,2,3,4,5,6,7,8
0,0,0,0,1,0,0,0,1,1
1,0,0,1,1,1,0,1,1,0
2,1,0,1,1,0,1,1,1,1
3,0,0,1,0,1,0,1,0,0
4,1,1,0,0,1,0,0,0,1
5,0,1,0,0,1,0,0,0,0
6,0,1,0,0,0,1,0,0,1
7,0,1,0,1,0,0,1,0,0
8,0,0,0,1,1,1,0,0,0
9,1,0,1,1,1,1,0,1,0
10,1,0,0,1,1,1,1,0,0
11,1,1,0,0,0,0,1,0,1
12,0,0,0,1,1,1,1,1,1
13,0,1,1,0,1,1,1,1,0
14,1,1,1,1,1,0,1,1,0
15,1,1,1,0,1,1,1,1,0
16,0,1,1,1,0,1,1,0,1
17,1,1,0,1,0,1,1,1,1
18,0,1,1,1,1,0,0,0,1
19,0,1,0,0,1,0,1,1,1
20,0,1,1,0,1,0,1,0,1
21,0,0,0,0,0,0,0,0,1
22,1,1,0,0,1,1,0,1,0
23,0,0,0,1,0,1,1,1,0
24,0,0,1,1,0,0,1,0,0
25,1,1,0,1,1,1,0,0,1
26,0,1,1,0,1,0,1,0,1
27,0,0,0,1,1,1,0,0,1
28,1,0,1,1,1,1,0,1,1
29,0,1,0,0,1,1,0,0,0
30,0,0,0,1,1,1,0,1,1
31,1,0,0,0,1,1,0,1,0
32,1,0,1,0,0,0,0,1,0
33,0,0,1,1,1,1,0,0,0
34,0,1,0,1,1,0,0,1,0
35,1,1,1,1,0,0,0,0,1
36,0,0,1,0,0,0,0,0,1
37,0,1,1,1,1,0,1,0,0
38,1,0,0,0,1,1,1,0,0
39,1,1,1,1,1,1,0,0,1
40,1,1,1,1,1,0,0,0,0
41,1,1,0,1,0,1,1,1,0
42,1,1,1,1,1,1,1,1,1
43,0,0,0,0,1,0,1,0,1
44,1,0,0,0,0,0,0,0,0
45,1,0,0,0,1,0,1,0,1
46,0,0,1,1,1,1,1,1,1
47,1,1,1,1,1,0,1,0,1
48,1,0,0,1,0,1,1,1,1
49,0,1,1,1,0,1,1,0,1
50,1,0,0,1,0,1,1,0,0
51,0,0,0,0,0,1,1,0,1
52,1,1,0,1,0,0,1,1,1
53,1,0,0,0,0,1,1,1,1
54,1,0,0,1,0,1,1,1,0
55,1,0,1,1,1,1,0,0,1
56,1,1,1,1,1,1,0,1,0
57,1,1,0,1,0,1,0,1,1
58,1,1,0,0,0,1,1,0,0
59,1,0,0,1,0,1,0,1,0
60,0,0,0,1,0,1,1,0,0
61,1,1,1,0,1,1,0,0,1
62,0,1,1,1,1,0,1,1,0
63,1,1,1,0,0,1,1,0,0
64,1,0,1,1,1,1,1,1,0
65,0,0,0,1,1,0,0,0,1
66,0,0,1,1,1,0,0,1,1
67,0,0,0,1,0,1,1,0,1
68,0,0,0,1,1,0,0,0,1
69,0,1,0,1,1,0,0,1,0
70,1,0,0,1,1,1,1,0,1
71,1,1,1,1,1,0,0,0,0
72,0,1,0,0,1,1,0,1,0
73,1,0,1,1,0,1,1,1,0
74,0,1,0,0,1,0,0,1,0
75,1,1,0,0,0,1,1,1,0
76,1,1,1,0,0,0,1,1,1
77,1,0,1,0,1,0,1,0,1
78,1,0,0,1,0,1,1,0,0
79,0,0,0,0,1,1,1,0,1
80,0,0,1,0,0,0,0,1,1
81,1,1,1,0,0,0,1,1,0
82,1,0,0,0,0,0,0,1,0
83,0,1,0,1,1,1,0,1,1
84,0,0,1,0,0,1,0,0,1
85,0,0,1,0,1,0,1,0,1
86,0,1,0,1,1,1,0,1,1
87,0,1,1,0,0,0,0,0,0
88,0,0,0,0,1,1,0,0,0
89,0,1,1,1,1,0,0,0,1
90,1,0,0,0,0,1,0,0,1
91,0,0,0,1,1,1,1,1,0
92,1,0,0,0,1,1,0,1,0
93,1,0,0,1,1,1,0,0,1
94,0,0,1,1,1,0,0,0,0
95,0,1,0,1,1,1,0,1,0
96,0,0,1,0,1,1,0,0,1
97,1,1,0,0,0,1,1,0,1
98,1,0,0,1,0,0,1,0,0
99,1,1,0,1,1,1,0,1,0
100,1,0,1,0,1,1,0,0,0
101,1,0,0,0,1,0,0,1,1
102,0,0,1,0,1,0,0,1,0
103,1,1,1,1,0,1,0,1,0
104,0,0,0,1,0,0,1,0,0
105,1,1,1,1,1,1,0,0,0
106,1,0,1,1,0,0,1,0,1
107,0,1,1,0,1,0,1,0,1
108,0,1,0,0,1,1,1,1,0
109,0,0,1,1,0,1,1,1,1
110,1,1,1,1,1,1,0,1,1
111,1,1,1,1,0,0,0,0,0
112,1,0,1,0,1,0,0,0,1
113,1,0,1,1,0,0,1,1,1
114,0,1,0,0,1,1,1,0,1
115,0,0,1,1,0,1,1,0,1
116,1,0,0,0,1,1,0,1,1
117,0,1,0,1,1,0,1,1,1
118,0,1,0,1,1,1,0,1,1
119,0,1,0,0,1,0,0,1,0
120,1,1,0,1,0,1,1,0,0
121,0,0,0,0,1,0,1,0,0
122,1,0,1,1,1,1,0,0,0
123,0,1,1,1,1,1,0,0,1
124,1,0,1,0,0,1,0,1,1
125,0,0,1,1,0,1,0,1,0
126,0,1,1,0,1,1,1,1,1
127,0,0,1,1,1,0,1,1,0
128,0,0,1,0,0,0,0,1,0
129,0,1,1,1,0,0,0,0,1
130,0,0,0,0,1,1,1,1,1
131,1,1,1,0,0,0,0,1,0
